name,blockNumber,txHash,positionId,owner,workerAddress,principalAmount,borrowAmount
WEMIX,95880446,0x1141fb0f869ea2c7eb6f2a68194c3cdb6cc900a641c23a5fe000d048e9501580,1411,0x82739d8b2edc7Af56ce4bD136187D3B08E33503F,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95880546,0x057376368a1591db42a9861d998cb8370a8982a8f029b1f53ce17050cb58bafc,1411,0x82739d8b2edc7Af56ce4bD136187D3B08E33503F,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95881085,0x36bf0db11090bdd605ea8cfeb084527620e9b7fe0ebcd6b65a7e647a4d785715,1412,0xCe3F6360DF3a79B072455154ce35549B882BB239,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95881836,0x37db880de4983ca9bef8b5e594da441186310009c7e53275ca94e8758ebe5417,1412,0xCe3F6360DF3a79B072455154ce35549B882BB239,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95883496,0x99b6303ee4515ddaf423484ba98883ba4a51ac0970abbe3dea8048227a4beaa3,1413,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95884163,0x6f20926eb7e21ea9f3cd3bfd0834b1364f672f616c5280d385b49f2caf286ebf,1413,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95884763,0x7742ddc53aed249eab67673faf9a2075ab9bddf6be095b4869996c968e7ae6f1,1026,0x94994d64E36D06c69068c89D032c29D9fd0a978e,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95885180,0x12498c9d5e2ad563eba03df676604b04a7a3d944064fc10fb2251001a3d180e2,1414,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95885499,0x1f63d2656a16cb5a051b782bef31554facfefbab92cde704c3f6f6d58c3d9372,1414,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95885998,0x2a475b9a2c0214254d5987799b195e13ac5d6581be8f4128cd98d78de196cd11,1415,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95886459,0xd1d43ad90db011c689a35b64f1380b53cd0496dfe0d35143370eaa0cb915e60a,1416,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95886659,0xf4456ef6c004d31f9499eb85a2d7456144bfb13f7365db846cfd67202b6cfcc6,1416,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95886921,0x81927908950ed82f22095e0d3d680f811e0d2c5d67a10821cf4ca0f605c0099d,1417,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95887194,0x5bf427b4a54d38bdfbf0160fdc6172da29d5859bbad5205e9b8409c8634baaef,1417,0x71E3F0C97280815711e45eBD9431ec6f976EC95E,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95887475,0x632aa29f59c77846be9b01a16f4c06ecef0a66c15c35d1ecadc2f445b19d4023,1418,0xD2229549F09aF28dd0C21b1ADE77F739aa8406b5,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95887666,0x42769da2e9c2db081db2b9d32cea5b9e6a74c5b93e5dccc9647aea8d17613ef4,1419,0xD2229549F09aF28dd0C21b1ADE77F739aa8406b5,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95887744,0x1bfb8de03b1a3f8ab8dea9ead87aca3746da3971744b2884befd738b48e8b922,1419,0xD2229549F09aF28dd0C21b1ADE77F739aa8406b5,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95891331,0xe24c14ea516cc38bb5df9ee36a22a3a9728004e64918c2ad709a88e1e8827bed,1025,0x94994d64E36D06c69068c89D032c29D9fd0a978e,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
WEMIX,95891366,0xb2600528a50059de92da65ed411162a76574f3bb66c19bc2f3c382b5c0a71ce1,1024,0x94994d64E36D06c69068c89D032c29D9fd0a978e,0x3B9A6393a0706F9D4325a6dd621Eb8895E2bB84c,0,0
